Fabricante,Modelo,Ano,Categoria,Couro,Combustivel,Volume_motor,Km,Cilindros,Tipo_cambio,Tracao,Portas,Rodas,Cor,Airbags,Preco,Numero_proprietarios
MERCEDESBENZ,Vito,2007,Vagao de carga,o,diesel,2.0 Turbo,180000,6,Manual,Traseira,45,21,Branco,4,15681,2
PORSCHE,Cayenne,2014,SUV,Sim,DIESEL,3,175056,6,Automatico,4x4,45,19,Branco,12,19444,3
BMW,X5,2000,SUV,Sim,Gás tural,4.4,200000,8,Automatico,4x4,45,28,Prata,6,6899,2
TOYOTA,Highlander,2008,Sedan,Sim,Hibrido,3.3,287274,6,Automatico,4x4,45,19,Branco,12,125,4
JEEP,Grand Cherokee,2007,SUV,Sim,diesel,3.0 Turbo,250000,6,Tiptronic,4x4,45,19,Preto,10,24462,4
HYUNDAI,Santa FE,2011,SUV,Sim,Diesel,2,162000,4,Automatico,Dianteira,45,28,Cinza,4,23235,2
TOYOTA,CHR Limited,2019,SUV,o,GASOLI,2,10200,4,Tiptronic,Dianteira,45,10,Red,12,51746,5
HONDA,FIT,2010,Hatchback,o,Hibrido,1.3,158000,4,Automatico,Dianteira,45,18,Preto,4,7527,4
HYUNDAI,Elantra,2012,Sedan,Sim,Gasoli,1.6,103490,4,Automatico,Dianteira,45,3,Prata,4,19121,5
LEXUS,RX 450,2010,SUV,Sim,Hibrido,3.5,382746,6,Automatico,4x4,45,20,Prata,12,314,4
TOYOTA,Camry,2013,Sedan,Sim,Gasol.,2.4,203200,4,Automatico,Dianteira,45,6,Azul,4,24462,2
HYUNDAI,H1,2016,Universal,Sim,Diesel,2.5,61057,4,Automatico,Dianteira,45,4,Preto,4,45734,2
VOLKSWAGEN,Jetta,2016,Sedan,Sim,gasoli,1.4 Turbo,11200,4,Tiptronic,Dianteira,45,24,Preto,8,20165,3
HYUNDAI,Sota,2014,Sedan,Sim,Hibrido,2.4,141000,4,Tiptronic,Dianteira,45,9,Branco,12,21326,1
PORSCHE,Cayenne,2010,SUV,Sim,Gasol.,3.6,160259,6,Automatico,4x4,45,25,Prata,12,549,5
TOYOTA,Tacoma,2013,SUV,Sim,Gasoli,4,239342,6,Automatico,4x4,45,27,Prata,12,220,2
TOYOTA,Prius C,2012,Hatchback,o,Hibrido,1.5,128000,4,Variator,Dianteira,45,32,Azul ceu,8,15681,2
HYUNDAI,Santa FE,2017,SUV,Sim,diesel,2,100734,4,Automatico,Dianteira,45,6,Preto,4,55390,2
TOYOTA,Aqua,2012,Hatchback,o,Hibrido,1.5,141500,4,Automatico,Dianteira,45,5,Preto,8,12544,4
FORD,Escape Hybrid,2008,SUV,o,Hibrido,2.3,147000,4,Variator,4x4,45,24,Branco,8,17249,3
HONDA,Civic,2016,Sedan,Sim,Gasoli,2,87768,4,Automatico,Dianteira,45,22,Azul,4,34889,5
AUDI,Q7,2015,SUV,Sim,Gasol.,3,264014,6,Automatico,4x4,45,14,Preto,0,862,2
REULT,Megane 1.5CDI,2008,Sedan,o,Dies.,1.5 Turbo,132542,4,Manual,Dianteira,45,4,Branco,10,14583,2
MERCEDESBENZ,E 300,2017,Sedan,Sim,Gasoli,2,1600,4,Automatico,Traseira,45,26,Preto,12,392,2
AUDI,Q5,2014,SUV,Sim,gasoli,2,87000,1,Tiptronic,4x4,45,9,Branco,12,38500,5
MERCEDESBENZ,C 180,2001,Cupê,o,Gasoli,2,260000,4,Manual,Traseira,23,25,Azul,0,8781,1
MERCEDESBENZ,GLA 250,2019,SUV,Sim,GASOLI,2.0 Turbo,5323,4,Tiptronic,4x4,45,4,Cinza,0,87112,1
NISSAN,Juke,2015,SUV,Sim,Gasoli,1.6,87112,4,Automatico,4x4,45,29,Preto,0,1411,4
BMW,535,2012,Sedan,Sim,Gasoli,3,204318,6,Automatico,Traseira,45,32,Preto,12,392,5
CHEVROLET,Cruze LT,2018,Sedan,o,gasoli,1.4 Turbo,22000,4,Automatico,Dianteira,45,15,Red,6,23521,2
FORD,Fusion,2013,Sedan,o,Gasoli,1.6 Turbo,83000,4,Tiptronic,Dianteira,45,31,Prata,8,,1
TOYOTA,VOXY,2007,Minivan,Sim,Gasol.,2.4,170000,4,Automatico,Dianteira,45,15,Preto,6,10349,5
NISSAN,Juke,2013,SUV,Sim,gasoli,1.6,312118,4,Automatico,Dianteira,45,2,Preto,0,,4
MERCEDESBENZ,A 160,2004,Sedan,o,GASOLI,1.6,130000,4,Tiptronic,Dianteira,45,12,Preto,6,5331,4
HYUNDAI,Tucson,2013,SUV,Sim,diesel,2,200279,4,Automatico,Dianteira,45,9,Cinza,4,20526,1
HYUNDAI,H1,2014,Minivan,Sim,Diesel,2.5,154672,4,Automatico,Dianteira,45,15,Prata,4,34657,3
HYUNDAI,H1,2016,Minivan,Sim,Dies.,2.5,110969,4,Automatico,Dianteira,45,24,Preto,4,36564,3
TOYOTA,Camry,2013,Sedan,Sim,Hibrido,2.5,225510,4,Automatico,Dianteira,45,20,Branco,12,314,5
TOYOTA,Vitz,2001,Hatchback,o,Gasoli,1.5,210000,4,Manual,Dianteira,45,6,Azul ceu,3,5488,5
HYUNDAI,H1,2015,Universal,Sim,Dies.,2.5,,4,Automatico,Dianteira,45,5,Prata,4,30063,4
CHEVROLET,Captiva,2011,SUV,Sim,Dies.,2.2,255456,4,Automatico,Dianteira,45,6,Prata,4,15800,5
HYUNDAI,H1,2017,Universal,Sim,DIESEL,2.5,111643,4,Automatico,Dianteira,45,7,Cinza,4,43952,4
HYUNDAI,Santa FE,2016,SUV,Sim,Dies.,2,84506,4,Automatico,Dianteira,45,29,Prata,4,53154,2
TOYOTA,Prius,2011,Hatchback,o,Hibrido,1.8,,4,Automatico,Dianteira,45,32,Branco,8,14740,2
FORD,Mustang,2016,Conversivel,Sim,GASOLI,2.3 Turbo,75000,4,Tiptronic,Traseira,23,16,Prata,6,42337,1
MERCEDESBENZ,ML 350,2014,SUV,Sim,Gasol.,3.5,94362,6,Automatico,Traseira,45,15,Branco,12,3763,2
TOYOTA,Prius,2012,Sedan,o,gasoli,1.8,175000,4,Automatico,Dianteira,45,31,Prata,8,18189,5
LEXUS,GX 470,2008,SUV,Sim,GASOLI,4.7,263190,8,Automatico,4x4,45,22,Branco,0,862,5
FORD,Escape,2009,SUV,Sim,Hibrido,2.5,193614,4,Automatico,Dianteira,45,4,Branco,0,220,4
TOYOTA,Highlander,2010,SUV,Sim,Hibrido,3.3,264877,6,Automatico,4x4,45,15,Branco,12,5645,1
TOYOTA,Yaris,2019,Sedan,Sim,GASOLI,1.5,27656,4,Automatico,Dianteira,45,16,Branco,12,7527,4
HONDA,Civic,2014,Sedan,o,Hibrido,1.4,16000,8,Automatico,4x4,45,14,Branco,10,21953,2
HONDA,Crv,1998,SUV,o,Gasol.,2,0,4,Automatico,4x4,45,32,Branco,2,8154,2
TOYOTA,Camry,2012,Sedan,o,Gasoli,2.5,195053,4,Automatico,Dianteira,45,12,Preto,0,,3
HYUNDAI,Elantra,2012,Sedan,Sim,Gasoli,1.6,,4,Automatico,Dianteira,45,27,Preto,4,19121,5
HYUNDAI,Santa FE,2014,SUV,Sim,DIESEL,2,69191,4,Automatico,Dianteira,45,16,Branco,4,36065,5
HONDA,FIT,2012,Hatchback,Sim,Hibrido,1.3,83000,4,Tiptronic,Dianteira,45,3,Verde,12,8781,3
CHEVROLET,Cruze,2010,Sedan,Sim,gasoli,1.8,40772,4,Automatico,Dianteira,45,19,Preto,4,6247,4
CHEVROLET,Orlando,2012,SUV,Sim,Diesel,2,172000,4,Automatico,Dianteira,45,25,Cinza,4,16289,5
MERCEDESBENZ,GL 63 AMG,2014,SUV,Sim,gasoli,5.5,433811,8,Automatico,4x4,45,17,Preto,10,77775,1
BMW,520 Vanos,1995,Sedan,Sim,Gasoli,2,350000,6,Manual,Traseira,45,28,Azul,2,2822,4
SUBARU,Forester,2012,SUV,Sim,gasoli,2.5,,4,Automatico,4x4,45,17,Azul,0,549,1
DAEWOO,Lacetti,2008,Sedan,Sim,Gasol.,2,,4,Automatico,Dianteira,45,30,Preto,4,6981,1
HYUNDAI,Elantra,2016,Sedan,o,Gasol.,2,105394,4,Tiptronic,Dianteira,45,7,Preto,12,27284,5
BMW,428 Sport Line,2013,Cupê,Sim,Gasol.,2.0 Turbo,,4,Automatico,Traseira,23,6,Preto,12,32929,3
NISSAN,Patrol,1990,SUV,o,diesel,2.8 Turbo,333333,4,Manual,Traseira,45,7,Preto,0,18817,1
HONDA,Civic,1997,Hatchback,Sim,GASOLI,1.4,0,4,Manual,Dianteira,23,18,Azul,6,4234,2
MERCEDESBENZ,E 320,2004,Sedan,Sim,Gasoli,3.2,214000,6,Tiptronic,Traseira,45,23,Cinza,8,15053,5
HYUNDAI,Genesis,2009,Cupê,Sim,Gasoli,2,123346,4,Automatico,Dianteira,45,7,Preto,4,15458,1
CHEVROLET,Cruze,2014,Sedan,Sim,Gasoli,1.4,80827,4,Automatico,Dianteira,45,2,Verde,12,2901,5
PORSCHE,911,2013,Cupê,Sim,gasoli,3.8,,6,Automatico,Traseira,23,13,Preto,12,706,5
FORD,Fusion,2015,Sedan,Sim,Hibrido,2,,4,Automatico,Dianteira,45,7,Preto,12,314,1
LEXUS,GX 460,2010,SUV,Sim,Gasol.,4.6,,8,Automatico,4x4,45,23,Prata,0,15681,2
MERCEDESBENZ,Sprinter,2004,Microonibus,o,DIESEL,2.2 Turbo,,4,Manual,Traseira,45,20,Branco,1,26657,3
TOYOTA,Prius,2007,Hatchback,o,gasoli,1.5,318400,4,Automatico,Dianteira,45,21,Prata,6,,2
FORD,Focus SE,2015,Sedan,o,Gasol.,2,91200,4,Automatico,Dianteira,45,25,Azul ceu,10,12858,2
BMW,X5,2013,SUV,Sim,Diesel,3,137802,6,Automatico,4x4,45,28,Preto,12,1019,1
BMW,535,2013,Sedan,Sim,Hibrido,3,151586,6,Automatico,Traseira,45,2,Branco,12,549,3
KIA,Picanto,2016,Hatchback,o,gasoli,1.2,107000,4,Manual,Dianteira,45,25,Prata,2,12858,1
BMW,328,2008,Sedan,Sim,Gás tural,3,210408,6,Tiptronic,Traseira,45,3,Branco,12,15000,5
FORD,Explorer,2017,SUV,Sim,Gasol.,2.3,100567,4,Automatico,Dianteira,45,29,Preto,4,85553,1
HYUNDAI,H1,2016,Universal,Sim,DIESEL,2.5,86000,4,Automatico,Dianteira,45,19,Cinza,4,44752,3
HYUNDAI,Elantra,2010,Sedan,Sim,GASOLI,1.6,,4,Automatico,Dianteira,45,18,Branco,4,17158,1
MERCEDESBENZ,E 500 AMG,2003,Sedan,Sim,GASOLI,5,150000,12,Tiptronic,Traseira,45,14,Branco,12,11917,3
MITSUBISHI,Lancer,1997,Sedan,o,Gasol.,1.3,100000,4,Manual,Traseira,45,10,Red,0,1254,5
HONDA,FIT,2003,Hatchback,o,Gasoli,1.5,178000,4,Variator,Dianteira,45,27,Prata,4,94,1
SSANGYONG,Korando,2013,SUV,Sim,DIESEL,2,85704,4,Automatico,Dianteira,45,14,Prata,4,25591,1
HYUNDAI,Santa FE,2010,SUV,Sim,Diesel,2,58962,4,Automatico,Dianteira,45,29,Branco,4,14897,2
TOYOTA,Camry,2013,Sedan,Sim,Hibrido,2.5,90000,4,Tiptronic,Dianteira,45,9,Branco,12,23521,2
REULT,Clio,1995,Hatchback,o,Gasoli,1.2,50000,3,Manual,Dianteira,23,17,Verde,0,3450,4
MAZDA,616,2014,Sedan,Sim,Gasol.,2.5,0,4,Automatico,Dianteira,45,9,Red,12,706,4
TOYOTA,Highlander,2009,Sedan,Sim,Hibrido,3.3,318358,6,Automatico,4x4,45,7,Preto,12,1019,2
FORD,Fusion,2015,Sedan,Sim,Gasoli,2,,4,Automatico,Dianteira,45,31,Preto,0,16935,2
TOYOTA,Camry,2012,Sedan,Sim,Gasoli,2.5,0,4,Tiptronic,Dianteira,45,11,Preto,6,19444,4
HYUNDAI,Santa FE,2016,SUV,Sim,diesel,2,59515,4,Automatico,Dianteira,45,7,Azul,4,51965,4
TOYOTA,Camry,2014,Sedan,Sim,Hibrido,2.5,115312,4,Automatico,Dianteira,45,27,Cinza,12,706,2
MERCEDESBENZ,C 220,1999,Sedan,o,DIESEL,2.2 Turbo,111111,4,Manual,Traseira,45,5,Prata,4,9408,1
HYUNDAI,H1,2008,Minivan,Sim,Dies.,2.5,,4,Automatico,Dianteira,45,13,Amarelo,4,13328,1
NISSAN,Sere,2012,Minivan,o,Gasol.,2,143000,4,Tiptronic,Dianteira,45,1,Branco,12,17876,2
NISSAN,Maxima,2004,Sedan,Sim,Gasoli,3.5,299709,6,Automatico,Dianteira,45,23,Cinza,12,549,2
TOYOTA,RAV 4,2008,SUV,o,Gasoli,2.4,135000,4,Automatico,4x4,45,6,Prata,8,20071,1
HYUNDAI,H1,2011,Minivan,Sim,DIESEL,2.5,124444,4,Automatico,Dianteira,45,17,Amarelo,4,22894,4
HONDA,Civic,2012,Sedan,Sim,Hibrido,1.5,146403,4,Automatico,Dianteira,45,24,Branco,0,2901,3
MITSUBISHI,Pajero,1997,SUV,o,Gasoli,2.4,142000,4,Automatico,4x4,23,4,Azul,6,15681,5
LEXUS,GX 460,2010,SUV,Sim,Gasoli,4.6,155821,8,Automatico,4x4,45,31,Preto,0,39829,2
LEXUS,GX 460,2015,SUV,Sim,GASOLI,4.6,102907,8,Automatico,4x4,45,27,Preto,0,706,4
HYUNDAI,Sota,2013,Sedan,Sim,GASOLI,2.4,130000,4,Tiptronic,Dianteira,45,4,Preto,6,18660,2
MERCEDESBENZ,E 300,2017,Sedan,Sim,Gasoli,2,50930,4,Automatico,Traseira,45,29,Preto,12,22580,3
CHEVROLET,Volt,2014,Hatchback,Sim,Hibrido,1.4,131893,4,Automatico,Dianteira,45,30,Marrom,0,314,2
GMC,TERRAIN,2013,SUV,Sim,GASOLI,2.4,138958,4,Automatico,Dianteira,45,26,Preto,12,5488,1
MERCEDESBENZ,208,1985,Universal,o,Dies.,2.5,1111111,4,Manual,Traseira,45,1,Preto,1,4300,4
TOYOTA,Camry,2018,Sedan,Sim,Hibrido,2.5,35058,4,Automatico,Dianteira,45,11,Branco,12,18817,5
HONDA,Hrv EX,2015,SUV,o,Gasoli,1.8,33330,4,Automatico,4x4,45,29,Cinza,8,21169,2
FIAT,500,2011,Cupê,o,Gasoli,1.2,141000,4,Automatico,Dianteira,23,16,Red,4,9095,1
VOLKSWAGEN,Jetta,2014,Sedan,Sim,Diesel,2,82392,4,Automatico,Dianteira,45,17,Prata,12,1568,1
SUBARU,Legacy,2005,Vagao de carga,o,GASOLI,2.0 Turbo,180000,6,Tiptronic,4x4,45,21,Azul,6,3136,5
HYUNDAI,Elantra sport limited,2013,Sedan,Sim,Gasoli,1.8,117920,4,Tiptronic,Dianteira,45,19,Cinza,12,17876,3
TOYOTA,Sien,2010,Minivan,Sim,gasoli,3.5,227200,6,Tiptronic,Dianteira,45,8,Branco,16,36065,4
TOYOTA,Camry,2014,Sedan,Sim,Hibrido,2.5,130478,4,Automatico,Dianteira,45,4,Branco,12,862,2
HYUNDAI,H1,2012,Universal,Sim,diesel,2.5,,4,Automatico,Dianteira,45,1,Prata,4,21395,1
CHEVROLET,Volt,2012,SUV,Sim,Hibrido,1.4,188419,4,Automatico,Dianteira,45,32,Red,0,627,5
TOYOTA,Aqua,2016,Hatchback,Sim,Gasoli,1.5,,4,Automatico,Dianteira,45,25,Preto,4,40070,3
MERCEDESBENZ,A 170,2008,Hatchback,o,Gasoli,1.7,180000,4,Automatico,Dianteira,45,19,Dourado,8,11917,2
LEXUS,NX 300,2018,SUV,Sim,GASOLI,2.0 Turbo,18918,4,Tiptronic,Dianteira,45,19,Preto,6,72130,5
SSANGYONG,REXTON,2013,SUV,Sim,diesel,2,137267,4,Automatico,Dianteira,45,8,Prata,4,,3
TOYOTA,Prius,2014,Sedan,o,Hibrido,1.8,160000,4,Automatico,4x4,45,26,Branco,4,21012,4
TOYOTA,Tacoma,2018,Sedan,Sim,Gasoli,3.5,,6,Automatico,Dianteira,45,28,Cinza,12,21012,2
KIA,Carnival grand,2009,Minivan,Sim,Diesel,2.9,84176,4,Automatico,Dianteira,45,10,Branco,6,13172,1
HYUNDAI,Genesis,2011,Cupê,Sim,gasoli,2,107005,4,Automatico,Dianteira,45,31,Cinza,4,15624,3
OPEL,Vectra,1997,Sedan,o,Gasol.,1.6,,4,Manual,Dianteira,45,15,Bege,2,4547,3
INFINITI,QX60,2015,SUV,Sim,Gasoli,3.5,124154,6,Automatico,4x4,45,27,Preto,12,5488,4
HYUNDAI,Elantra,2012,Sedan,Sim,GASOLI,1.6,104997,4,Automatico,Dianteira,45,5,Branco,4,20005,4
VOLKSWAGEN,Passat,2017,Sedan,Sim,Gasoli,1.8,27728,6,Tiptronic,Dianteira,45,22,Prata,8,36110,4
MERCEDESBENZ,E 240 E 240,1998,Sedan,Sim,Gasol.,2.4,777777,6,Manual,Traseira,45,28,Azul,4,7840,3
MAZDA,1000,2019,SUV,Sim,GASOLI,2,11566,4,Automatico,4x4,45,32,Preto,12,470,1
AUDI,50,2018,Cupê,Sim,Gasoli,0.5,4000,1,Tiptronic,Traseira,>5,31,Azul,0,1300,1
HYUNDAI,Santa FE,2016,SUV,Sim,DIESEL,2,113700,4,Automatico,Dianteira,45,12,Prata,4,43880,1
MERCEDESBENZ,C 250,2014,Sedan,Sim,Gasoli,1.8 Turbo,69000,4,Tiptronic,Traseira,45,10,Cinza,8,29479,5
TOYOTA,Camry,2011,Sedan,Sim,Hibrido,2.5,152000,4,Variator,Dianteira,45,30,Branco,12,17249,4
TOYOTA,Vitz funkargo,2003,Universal,o,GASOLI,1.5,181926,4,Automatico,4x4,45,31,Prata,2,9408,1
HYUNDAI,Santa FE,2016,SUV,Sim,diesel,2,50255,4,Automatico,Dianteira,45,9,Red,4,44213,5
BMW,325,2001,Sedan,Sim,gasoli,2.5,252800,6,Manual,Traseira,45,18,Cinza,6,8467,4
AUDI,A6,2014,Sedan,Sim,Gasoli,3,164488,6,Automatico,4x4,45,28,Prata,12,627,1
FORD,Transit,2011,Vagao de carga,o,Diesel,2.4 Turbo,125000,4,Manual,4x4,45,1,Branco,2,21950,1
FIAT,500,2012,Hatchback,Sim,Gasoli,1.4,164574,4,Automatico,Dianteira,45,26,Red,12,706,1
CHEVROLET,Cruze,2014,Sedan,Sim,GASOLI,1.4,156992,4,Automatico,Dianteira,45,15,Preto,12,3136,4
OPEL,Vectra,1995,Sedan,o,Gás tural,2,0,4,Manual,Dianteira,45,32,Branco,2,3450,2
MITSUBISHI,Pajero,1998,SUV,o,GASOLI,3.5 Turbo,11000,6,Tiptronic,4x4,45,29,Prata,4,9408,3
MITSUBISHI,Delica,2005,Minivan,Sim,gasoli,3,184000,6,Automatico,4x4,45,28,Branco,12,20385,5
MERCEDESBENZ,E 350,2014,Sedan,Sim,Diesel,3.5,149486,6,Automatico,4x4,45,2,Prata,12,314,5
VOLKSWAGEN,Golf,1996,Sedan,o,Gás tural,2,,4,Manual,Dianteira,45,3,Verde,0,2300,4
TOYOTA,Camry Se,2018,Sedan,Sim,Gasoli,2.5,25000,4,Tiptronic,Dianteira,45,22,Azul,12,56450,1
VOLKSWAGEN,Jetta,2014,Universal,Sim,diesel,2,113214,4,Automatico,Dianteira,45,27,Cinza,12,1490,3
TOYOTA,Tacoma,2012,Sedan,Sim,gasoli,2.7,394069,4,Automatico,Traseira,45,9,Preto,12,627,4
MERCEDESBENZ,E 350,2014,Sedan,Sim,DIESEL,3.5,149486,6,Automatico,4x4,45,30,Prata,12,314,5
HONDA,Crv,2002,SUV,o,GASOLI,2.4,260000,4,Automatico,4x4,45,3,Prata,6,,2
NISSAN,Patrol Y60,1990,SUV,o,diesel,2.8 Turbo,222222,4,Manual,Traseira,45,8,Preto,0,19757,1
AUDI,A7,2013,Hatchback,Sim,Gasol.,3,301707,6,Automatico,4x4,45,28,Cinza,0,4704,1
HYUNDAI,Sota,2013,Sedan,Sim,Gasoli,2.4,175827,4,Automatico,Dianteira,45,10,Preto,12,706,1
MERCEDESBENZ,E 350,2013,Sedan,Sim,DIESEL,3.5,107800,6,Automatico,Traseira,45,8,Cinza,12,5802,3
TOYOTA,Camry,2014,Sedan,o,Gasoli,2.5,115200,4,Automatico,Dianteira,45,13,Prata,8,25716,2
TOYOTA,RAV 4,2001,SUV,o,GASOLI,2,91000,4,Automatico,4x4,23,24,Prata,4,10820,5
FORD,Explorer,2011,SUV,Sim,Gasoli,3.5,129177,4,Automatico,Dianteira,45,21,Branco,4,45436,4
HYUNDAI,I30,2008,Hatchback,o,Dies.,1.6,201000,4,Manual,Dianteira,45,19,Preto,8,11917,4
HYUNDAI,Santa FE,2015,SUV,Sim,diesel,2,185811,4,Automatico,Dianteira,45,7,Preto,4,41281,5
NISSAN,Altima,1998,Sedan,o,Gasol.,2.4,358400,4,Manual,Dianteira,45,31,Marrom,2,4391,1
PORSCHE,Cayenne,2018,Sedan,Sim,Gasoli,3.6,28968,6,Automatico,4x4,45,31,Branco,12,3058,4
ALFA ROMEO,147,2001,Cupê,Sim,gasoli,1.8,240000,4,Manual,Dianteira,23,30,Preto,4,3700,1
SUZUKI,Grand Vitara,2008,SUV,o,Gasoli,1.6,98000,4,Automatico,4x4,23,8,Preto,12,15681,1
LEXUS,CT 200h,2011,Hatchback,Sim,Hibrido,1.8,122302,4,Automatico,Dianteira,45,20,Preto,0,6586,5
TOYOTA,Prius,2007,Hatchback,o,Hibrido,1.5,140000,4,Automatico,Dianteira,45,20,Bege,6,12544,3
HYUNDAI,Tucson,2014,SUV,Sim,Diesel,2,,4,Automatico,Dianteira,45,29,Branco,4,30063,1
PORSCHE,Pamera,2010,Hatchback,Sim,Gasoli,4.8,196800,8,Tiptronic,4x4,45,23,Branco,8,72130,2
HYUNDAI,Veloster,2015,Hatchback,o,Gasoli,1.6,17200,4,Tiptronic,Dianteira,23,14,Red,10,21639,4
TOYOTA,RAV 4 XLE Sport,2013,SUV,o,Gasoli,2.5,120000,4,Tiptronic,Dianteira,45,14,Branco,0,36692,2
HONDA,FIT,2002,Hatchback,o,GASOLI,1.5,0,4,Automatico,Dianteira,45,9,Prata,4,30,5
TOYOTA,Aqua,2014,Hatchback,o,Hibrido,1.5,66000,4,Variator,Dianteira,45,21,Prata,4,12231,5
TOYOTA,Sienta,2004,Sedan,o,Gasoli,1.5,300000,4,Variator,Dianteira,45,29,Bege,4,3136,3
TOYOTA,Prius,2009,Sedan,Sim,Hibrido,1.8,230000,4,Variator,Dianteira,45,14,Cinza,6,10663,5
HONDA,FIT,2013,Hatchback,Sim,Gasoli,1.3,110467,4,Automatico,Dianteira,45,4,Branco,4,5620,2
MERCEDESBENZ,CLS 550,2010,Sedan,Sim,Gasoli,5.5,157000,4,Automatico,Dianteira,45,9,Cinza,10,19130,1
HONDA,FIT,2012,Hatchback,o,Hibrido,1.3,64000,4,Variator,Dianteira,45,18,Preto,4,9408,1
HYUNDAI,Elantra,2011,Sedan,Sim,Gasoli,1.8,80000,4,Tiptronic,Dianteira,45,6,Cinza,6,3,1
VOLKSWAGEN,Passat,2013,Sedan,Sim,DIESEL,2.0 Turbo,179200,4,Tiptronic,Dianteira,45,2,Branco,16,15367,3
CHEVROLET,Avalanche,2011,Sedan,Sim,GASOLI,5.3,246976,8,Automatico,Dianteira,45,15,Preto,12,5959,4
HYUNDAI,H1,2014,Minivan,Sim,DIESEL,2.5,179918,4,Automatico,Dianteira,45,26,Prata,4,26594,2
TOYOTA,Avalon LIMITED,2013,Sedan,Sim,Hibrido,2.5,92200,4,Tiptronic,Dianteira,45,21,Bege,12,36065,2
KIA,Cerato K3,2016,Sedan,Sim,Diesel,1.6 Turbo,29000,4,Tiptronic,Dianteira,45,21,Prata,8,26343,2
MAZDA,CX7,2011,Sedan,Sim,Gasoli,2.5,216550,4,Automatico,Dianteira,45,20,Preto,12,549,2
JEEP,Grand Cherokee,1993,SUV,o,gasoli,4,240000,6,Automatico,4x4,45,25,Verde,5,6000,4
